base_impact,coef_score,amplitude_method,amplitude_factor,score_tendance_v2,impact_pred,impact_real,error,error_pct
48.0,0.06,4,1.6462077633154297,-0.9203330935040868,47.616912725243644,51.7,4.083087274756359,7.8976543032037885
52.0,0.14,4,1.6462077633154297,-0.9203330935040868,47.56497383325476,51.7,4.1350261667452415,7.998116376683252
54.0,0.1,2,0.270999999999999,-0.1515059483362533,55.84096127293345,51.7,4.1409612729334455,8.00959627259854
48.0,0.12,3,0.856540727468379,-0.4788598347000794,47.50385571973392,51.7,4.196144280266083,8.116333230688747
56.0,0.1,3,0.856540727468379,-0.4788598347000794,55.98430417196354,51.7,4.284304171963534,8.286855264919794
54.0,0.08,2,0.270999999999999,-0.1515059483362533,56.01276901834676,51.7,4.312769018346756,8.341912994868
54.0,0.06,2,0.270999999999999,-0.1515059483362533,56.18457676376006,51.7,4.48457676376006,8.674229717137447
56.0,0.14,1,0.541999999999998,-0.3030118966725066,56.30560606659193,51.7,4.605606066591925,8.90832894892055
48.0,0.14,3,0.856540727468379,-0.4788598347000794,47.02116500635624,51.7,4.678834993643761,9.049970974165882
56.0,0.08,3,0.856540727468379,-0.4788598347000794,56.547443337570826,51.7,4.847443337570823,9.376099298976447
56.0,0.12,1,0.541999999999998,-0.3030118966725066,56.661948057078796,51.7,4.961948057078793,9.597578446960913
50.0,0.12,4,1.6462077633154297,-0.9203330935040868,46.70190151092425,51.7,4.998098489075751,9.667501913105902
48.0,0.08,4,1.6462077633154297,-0.9203330935040868,46.68921696699152,51.7,5.0107830330084795,9.692036814329747
56.0,0.1,1,0.541999999999998,-0.3030118966725066,57.01829004756566,51.7,5.318290047565654,10.286827945001264
56.0,0.06,3,0.856540727468379,-0.4788598347000794,57.11058250317813,51.7,5.4105825031781265,10.465343333033127
56.0,0.08,1,0.541999999999998,-0.3030118966725066,57.374632038052525,51.7,5.674632038052522,10.976077443041628
56.0,0.14,2,0.270999999999999,-0.1515059483362533,57.552803033295966,51.7,5.852803033295963,11.320702192061823
48.0,0.1,4,1.6462077633154297,-0.9203330935040868,45.76152120873941,51.7,5.938478791260593,11.486419325455692
50.0,0.14,4,1.6462077633154297,-0.9203330935040868,45.73555176274496,51.7,5.964448237255041,11.536650362195438
56.0,0.12,2,0.270999999999999,-0.1515059483362533,57.7309740285394,51.7,6.030974028539397,11.665326941082006
56.0,0.06,1,0.541999999999998,-0.3030118966725066,57.7309740285394,51.7,6.030974028539397,11.665326941082006
56.0,0.1,2,0.270999999999999,-0.1515059483362533,57.909145023782834,51.7,6.209145023782831,12.009951690102188
56.0,0.08,2,0.270999999999999,-0.1515059483362533,58.087316019026275,51.7,6.387316019026272,12.354576439122383
56.0,0.06,2,0.270999999999999,-0.1515059483362533,58.265487014269695,51.7,6.565487014269692,12.699201188142537
48.0,0.12,4,1.6462077633154297,-0.9203330935040868,44.83382545048728,51.7,6.866174549512721,13.280801836581663
