time_group,num_events,event_keys,event_titles,countries,max_empirical_score,mean_empirical_score,impact_reel_pips,surprise_pct,year
2024-12-19 08:00:00+01:00,2,"consumer confidence,trade balance",Consumer Confidence | Trade Balance,"CH,DE",66.64,58.425,19.7,12.51612903225806,2024
2024-05-10 20:00:00+02:00,1,monthly budget statement,Monthly Budget Statement,US,50.1,50.1,4.6,14.11042944785276,2024
2024-11-08 09:00:00+01:00,1,consumer confidence,Consumer Confidence,CH,59.96,59.96,2.76,12.121212121212121,2024
2024-06-14 16:00:00+02:00,5,"michigan 5 year inflation expectations,michigan consumer expectations,michigan consumer sentiment,michigan current conditions,michigan inflation expectations",Michigan 5 Year Inflation Expectations | Michigan Consumer Expectations | Michigan Consumer Sentiment,US,62.74,49.288,19.6,11.971830985915492,2024
2024-09-27 11:00:00+02:00,1,consumer confidence,Consumer Confidence,EU,58.03,58.03,18.1,19.642857142857153,2024
2024-10-11 16:00:00+02:00,5,"michigan 5 year inflation expectations,michigan consumer expectations,michigan consumer sentiment,michigan current conditions,michigan inflation expectations",Michigan 5 Year Inflation Expectations | Michigan Consumer Expectations | Michigan Consumer Sentiment,US,62.74,49.288,10.73,11.538461538461531,2024
2024-08-16 08:00:00+02:00,2,"retail sales,retail sales ex fuel",Retail Sales | Retail Sales ex Fuel,GB,50.25,50.09,4.8,12.50000000000001,2024
2024-01-30 11:00:00+01:00,2,"consumer confidence,gdp growth rate",Consumer Confidence | GDP Growth Rate,EU,58.03,54.735,14.0,10.000000000000009,2024
2024-02-27 00:30:00+01:00,3,"core inflation rate,inflation rate,inflation rate ex food and energy",Core Inflation Rate | Inflation Rate | Inflation Rate Ex-Food and Energy,JP,25.66,25.30333333333333,2.5,11.111111111111107,2024
2024-10-29 08:00:00+01:00,1,gfk consumer confidence,Gfk Consumer Confidence,DE,49.68,49.68,5.66,10.731707317073168,2024
2024-05-31 11:00:00+02:00,5,"core inflation rate,cpi,harmonised inflation rate,inflation rate,inflation rate",Core Inflation Rate | CPI | Harmonised Inflation Rate,"EU,IT",59.03,57.779999999999994,11.8,14.285714285714299,2024
2024-10-10 14:30:00+02:00,6,"continuing jobless claims,core inflation rate,cpi,cpi s a,inflation rate,initial jobless claims",Continuing Jobless Claims | Core Inflation Rate | CPI,US,81.7,76.90833333333333,22.67,12.173913043478262,2024
2024-06-21 01:01:00+02:00,1,gfk consumer confidence,Gfk Consumer Confidence,GB,20.78,20.78,5.3,12.5,2024
2025-02-04 16:00:00+01:00,1,factory orders,Factory Orders,US,65.08,65.08,23.4,50.0,2025
2025-02-12 20:00:00+01:00,1,monthly budget statement,Monthly Budget Statement,US,50.1,50.1,9.9,46.42451759364359,2025
2025-02-27 09:00:00+01:00,6,"core inflation rate,cpi,gdp growth rate,gross domestic product,harmonised inflation rate,inflation rate",Core Inflation Rate | CPI | GDP Growth Rate,"CH,ES",62.12,59.223333333333336,8.0,33.33333333333335,2025
2025-01-03 09:55:00+01:00,1,unemployment rate,Unemployment Rate,DE,61.5,61.5,19.0,33.33333333333333,2025
2025-05-23 00:45:00+02:00,1,retail sales,Retail Sales,NZ,34.4,34.4,5.7,42.85714285714285,2025
2025-02-04 22:45:00+01:00,1,unemployment rate,Unemployment Rate,NZ,18.81,18.81,2.2,50.0,2025
2025-03-05 16:00:00+01:00,2,"factory orders,ism services pmi",Factory Orders | ISM Services PMI,US,73.69,69.38499999999999,23.6,33.33333333333333,2025
2025-04-30 08:00:00+02:00,1,retail sales,Retail Sales,DE,55.32,55.32,14.7,50.0,2025
2025-09-09 08:45:00+02:00,1,industrial production,Industrial Production,FR,53.81,53.81,16.8,38.888888888888886,2025
2025-08-14 14:30:00+02:00,2,"continuing jobless claims,initial jobless claims",Continuing Jobless Claims | Initial Jobless Claims,US,71.98,71.33000000000001,35.0,27.586206896551737,2025
2025-03-10 09:00:00+01:00,1,consumer confidence,Consumer Confidence,CH,59.96,59.96,11.6,21.428571428571427,2025
2025-06-02 09:00:00+02:00,2,"gdp growth rate,gross domestic product",GDP Growth Rate | Gross Domestic Product,CH,58.88,57.405,36.1,34.666666666666664,2025
2025-07-11 08:45:00+02:00,3,"cpi,harmonised inflation rate,inflation rate",CPI | Harmonised Inflation Rate | Inflation Rate,FR,66.35,63.70666666666667,16.7,33.33333333333335,2025
2025-09-01 10:30:00+02:00,1,s p global manufacturing pmi,S&P Global Manufacturing PMI,GB,55.0,55.0,15.1,50.0,2025
2025-05-27 08:00:00+02:00,2,"consumer confidence,trade balance",Consumer Confidence | Trade Balance,"CH,DE",66.64,58.425,11.1,34.042553191489354,2025
2024-04-24 03:30:00+02:00,5,"cpi,inflation rate,monthly cpi indicator,rba trimmed mean cpi,rba weighted median cpi",CPI | Inflation Rate | Monthly CPI Indicator,AU,37.78,35.436,2.6,24.999999999999993,2024
2024-12-12 09:30:00+01:00,1,snb interest rate decision,SNB Interest Rate Decision,CH,69.27,69.27,11.9,33.33333333333333,2024
2024-09-09 01:50:00+02:00,1,gdp growth rate,GDP Growth Rate,JP,29.38,29.38,6.55,23.315181709342284,2024
2024-05-29 14:00:00+02:00,2,"harmonised inflation rate,inflation rate",Harmonised Inflation Rate | Inflation Rate,DE,55.29,54.9,0.8,50.0,2024
2024-12-03 23:00:00+01:00,2,"judo bank composite pmi,judo bank services pmi",Judo Bank Composite PMI | Judo Bank Services PMI,AU,20.96,17.47,5.3,49.29577464788733,2024
2024-08-30 08:45:00+02:00,3,"gdp growth rate,harmonised inflation rate,inflation rate",GDP Growth Rate | Harmonised Inflation Rate | Inflation Rate,FR,62.84,58.00666666666667,4.05,40.0,2024
2024-05-29 10:00:00+02:00,1,consumer confidence,Consumer Confidence,IT,57.78,57.78,21.0,50.0,2024
2024-06-10 01:50:00+02:00,1,gdp growth rate,GDP Growth Rate,JP,29.38,29.38,7.1,42.85714285714285,2024
2024-08-30 03:30:00+02:00,1,retail sales,Retail Sales,AU,33.03,33.03,11.65,24.999999999999993,2024
2024-11-28 14:00:00+01:00,3,"cpi,harmonised inflation rate,inflation rate",CPI | Harmonised Inflation Rate | Inflation Rate,DE,55.29,54.89333333333334,14.52,39.99999999999999,2024
2024-02-13 08:30:00+01:00,2,"cpi,inflation rate",CPI | Inflation Rate,CH,57.81,57.644999999999996,7.2,23.529411764705877,2024
2024-09-27 09:00:00+02:00,4,"core inflation rate,gdp growth rate,harmonised inflation rate,inflation rate",Core Inflation Rate | GDP Growth Rate | Harmonised Inflation Rate,ES,64.87,60.82,16.34,21.052631578947363,2024
2024-04-05 02:30:00+02:00,1,retail sales,Retail Sales,AU,33.03,33.03,4.1,30.0,2024
2024-01-04 14:00:00+01:00,2,"harmonised inflation rate,inflation rate",Harmonised Inflation Rate | Inflation Rate,DE,55.29,54.9,20.7,33.33333333333333,2024
2024-11-07 13:00:00+01:00,2,"boe interest rate decision,interest rate decision",BoE Interest Rate Decision | Interest Rate Decision,GB,58.97,55.8,17.61,34.48275862068966,2024
