20250901 044300;1.172440;1.172620;1.172420;1.172620;0
20250901 044400;1.172640;1.172700;1.172610;1.172640;0
20250901 044500;1.172650;1.172820;1.172640;1.172760;0
20250901 044600;1.172770;1.172880;1.172770;1.172880;0
20250901 044700;1.172840;1.172970;1.172800;1.172930;0
20250901 044800;1.172920;1.173030;1.172900;1.172990;0
20250901 044900;1.172990;1.173200;1.172990;1.173140;0
20250901 045000;1.173160;1.173310;1.173110;1.173290;0
20250901 045100;1.173270;1.173620;1.173210;1.173530;0
20250901 045200;1.173520;1.173620;1.173280;1.173370;0
20250901 045300;1.173360;1.173370;1.173230;1.173320;0
20250901 045400;1.173310;1.173470;1.173270;1.173400;0
20250901 045500;1.173400;1.173450;1.173370;1.173410;0
20250901 045600;1.173440;1.173530;1.173380;1.173380;0
20250901 045700;1.173400;1.173450;1.173350;1.173430;0
20250901 045800;1.173440;1.173540;1.173440;1.173520;0
20250901 045900;1.173510;1.173580;1.173480;1.173530;0
20250901 050000;1.173510;1.173620;1.173450;1.173580;0
20250901 050100;1.173610;1.173610;1.173450;1.173450;0
20250901 050200;1.173450;1.173540;1.173400;1.173450;0
20250901 050300;1.173430;1.173550;1.173370;1.173390;0
20250901 050400;1.173400;1.173400;1.173170;1.173170;0
20250901 050500;1.173180;1.173220;1.172910;1.172940;0
20250901 050600;1.172930;1.172930;1.172790;1.172900;0
20250901 050700;1.172920;1.172940;1.172740;1.172800;0
20250901 050800;1.172800;1.172940;1.172790;1.172900;0
20250901 050900;1.172900;1.172900;1.172660;1.172660;0
20250901 051000;1.172660;1.172680;1.172470;1.172550;0
20250901 051100;1.172550;1.172620;1.172540;1.172570;0
20250901 051200;1.172590;1.172720;1.172580;1.172650;0
20250901 051300;1.172630;1.172720;1.172500;1.172500;0
20250901 051400;1.172510;1.172580;1.172500;1.172570;0
20250901 051500;1.172590;1.172620;1.172420;1.172420;0
20250901 051600;1.172420;1.172450;1.172300;1.172350;0
20250901 051700;1.172350;1.172400;1.172230;1.172340;0
20250901 051800;1.172320;1.172400;1.172260;1.172380;0
20250901 051900;1.172360;1.172390;1.172290;1.172330;0
