ts_utc,open,high,low,close,volume
2025-07-15 14:00:00+02:00,1.16696,1.16696,1.16675,1.16677,137
2025-07-15 14:01:00+02:00,1.16678,1.16695,1.16672,1.16688,170
2025-07-15 14:02:00+02:00,1.1669,1.16701,1.16682,1.16682,106
2025-07-15 14:03:00+02:00,1.16682,1.16688,1.16682,1.16683,54
2025-07-15 14:04:00+02:00,1.16684,1.16688,1.16668,1.16686,121
2025-07-15 14:05:00+02:00,1.16688,1.16696,1.16686,1.16694,54
2025-07-15 14:06:00+02:00,1.16695,1.16695,1.16678,1.16686,106
2025-07-15 14:07:00+02:00,1.16685,1.16685,1.16665,1.16668,80
2025-07-15 14:08:00+02:00,1.16668,1.16682,1.16667,1.16678,61
2025-07-15 14:09:00+02:00,1.16676,1.16676,1.16649,1.16652,123
2025-07-15 14:10:00+02:00,1.1665,1.16671,1.1665,1.16668,87
2025-07-15 14:11:00+02:00,1.1667,1.16678,1.16662,1.16676,102
2025-07-15 14:12:00+02:00,1.16676,1.1668,1.16672,1.16673,41
2025-07-15 14:13:00+02:00,1.16674,1.16678,1.1667,1.16673,27
2025-07-15 14:14:00+02:00,1.16675,1.16686,1.1667,1.16681,61
2025-07-15 14:15:00+02:00,1.16682,1.16682,1.16672,1.16675,34
2025-07-15 14:16:00+02:00,1.16674,1.16676,1.16656,1.16663,113
2025-07-15 14:17:00+02:00,1.16664,1.16673,1.16661,1.16666,116
2025-07-15 14:18:00+02:00,1.16667,1.16688,1.16658,1.16686,80
2025-07-15 14:19:00+02:00,1.16688,1.16697,1.16678,1.16686,153
2025-07-15 14:20:00+02:00,1.16686,1.16687,1.16679,1.16686,107
2025-07-15 14:21:00+02:00,1.16684,1.1669,1.16677,1.16687,115
2025-07-15 14:22:00+02:00,1.16686,1.16704,1.1668,1.16696,130
2025-07-15 14:23:00+02:00,1.16696,1.16714,1.16688,1.16688,155
2025-07-15 14:24:00+02:00,1.16689,1.16693,1.16681,1.16686,89
2025-07-15 14:25:00+02:00,1.16688,1.16691,1.16681,1.16686,82
2025-07-15 14:26:00+02:00,1.16687,1.16688,1.16666,1.16666,99
2025-07-15 14:27:00+02:00,1.16666,1.16667,1.16652,1.16652,98
2025-07-15 14:28:00+02:00,1.16654,1.16662,1.1665,1.16654,122
2025-07-15 14:29:00+02:00,1.16656,1.16667,1.1665,1.16658,168
2025-07-15 14:30:00+02:00,1.16656,1.16872,1.16656,1.1681,1267
2025-07-15 14:31:00+02:00,1.16812,1.16878,1.16802,1.16819,578
2025-07-15 14:32:00+02:00,1.16818,1.16846,1.16802,1.16812,376
2025-07-15 14:33:00+02:00,1.16812,1.16828,1.16792,1.16812,401
2025-07-15 14:34:00+02:00,1.1681,1.16901,1.16808,1.16892,547
2025-07-15 14:35:00+02:00,1.16893,1.16911,1.1681,1.16816,598
2025-07-15 14:36:00+02:00,1.16817,1.16827,1.16787,1.16804,450
2025-07-15 14:37:00+02:00,1.16808,1.16824,1.16736,1.16736,511
2025-07-15 14:38:00+02:00,1.16736,1.16766,1.16685,1.16694,542
2025-07-15 14:39:00+02:00,1.16695,1.16695,1.16638,1.1664,562
2025-07-15 14:40:00+02:00,1.16641,1.16665,1.16624,1.16656,446
2025-07-15 14:41:00+02:00,1.16655,1.16674,1.16654,1.16656,376
2025-07-15 14:42:00+02:00,1.16657,1.16703,1.16654,1.167,429
2025-07-15 14:43:00+02:00,1.16698,1.1671,1.16692,1.16701,255
2025-07-15 14:44:00+02:00,1.16702,1.16709,1.16672,1.16696,274
2025-07-15 14:45:00+02:00,1.16698,1.1671,1.1668,1.16708,294
2025-07-15 14:46:00+02:00,1.1671,1.16712,1.16658,1.16668,225
2025-07-15 14:47:00+02:00,1.16668,1.1669,1.16664,1.1669,205
2025-07-15 14:48:00+02:00,1.16691,1.16708,1.16688,1.16691,169
2025-07-15 14:49:00+02:00,1.16692,1.16714,1.16683,1.16708,145
2025-07-15 14:50:00+02:00,1.16708,1.16738,1.16699,1.16702,302
2025-07-15 14:51:00+02:00,1.16702,1.16722,1.16699,1.16702,156
2025-07-15 14:52:00+02:00,1.16702,1.16762,1.16701,1.16758,245
2025-07-15 14:53:00+02:00,1.16758,1.16784,1.16754,1.16766,198
2025-07-15 14:54:00+02:00,1.16768,1.16807,1.16758,1.16798,266
2025-07-15 14:55:00+02:00,1.16799,1.1685,1.16799,1.16826,366
2025-07-15 14:56:00+02:00,1.16828,1.1685,1.16826,1.1683,300
2025-07-15 14:57:00+02:00,1.1683,1.16832,1.1679,1.16795,259
2025-07-15 14:58:00+02:00,1.16793,1.16813,1.16792,1.16792,231
2025-07-15 14:59:00+02:00,1.1679,1.16799,1.16775,1.16781,196
2025-07-15 15:00:00+02:00,1.1678,1.16783,1.16761,1.16782,252
2025-07-15 15:01:00+02:00,1.1678,1.16782,1.16752,1.1677,345
2025-07-15 15:02:00+02:00,1.16769,1.16792,1.16766,1.16786,244
2025-07-15 15:03:00+02:00,1.16787,1.16788,1.16756,1.16768,205
2025-07-15 15:04:00+02:00,1.16767,1.1677,1.16746,1.16763,216
2025-07-15 15:05:00+02:00,1.16762,1.16778,1.16744,1.16756,239
2025-07-15 15:06:00+02:00,1.16756,1.16756,1.16742,1.16748,212
2025-07-15 15:07:00+02:00,1.16745,1.16758,1.16738,1.16742,224
2025-07-15 15:08:00+02:00,1.16742,1.16745,1.16727,1.1673,186
2025-07-15 15:09:00+02:00,1.16728,1.1674,1.16704,1.16706,150
