movement_id,direction,impact_pips,pattern_type_v1,pattern_type_v2
148,UP,49.60999999999993,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
149,DOWN,40.67000000000043,SINGLE_WAVE_STANDARD,DOUBLE_WAVE_DOWN
150,UP,56.560000000001054,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
151,UP,66.96999999999953,DOUBLE_WAVE,DOUBLE_WAVE_UP
152,UP,45.50000000000276,DOUBLE_WAVE,DOUBLE_WAVE_UP
153,DOWN,78.08000000000037,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
154,UP,70.44000000000051,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
155,DOWN,40.57999999999895,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
156,DOWN,46.0399999999983,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
157,UP,52.49999999999755,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
158,UP,68.4100000000032,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
159,UP,63.479999999997986,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
160,UP,57.67999999999552,DOUBLE_WAVE,DOUBLE_WAVE_UP
161,DOWN,63.41999999999848,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
162,DOWN,40.50999999999805,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
163,UP,76.46000000000042,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
164,DOWN,57.12000000000161,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
165,UP,41.85000000000105,DOUBLE_WAVE,DOUBLE_WAVE_UP
166,DOWN,69.82999999999961,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
167,DOWN,46.209999999999866,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
168,DOWN,68.25999999999999,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
169,DOWN,63.94000000000233,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
170,UP,44.01000000000099,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
171,DOWN,48.00000000000138,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
172,UP,45.88999999999732,DOUBLE_WAVE,DOUBLE_WAVE_UP
173,DOWN,44.85000000000072,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
174,DOWN,73.17000000000019,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
175,DOWN,54.179999999999225,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
176,UP,44.00999999999877,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
177,DOWN,109.83999999999882,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
178,DOWN,89.2499999999985,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
179,DOWN,63.4800000000002,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
180,UP,46.01999999999773,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
181,DOWN,49.330000000000766,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
182,DOWN,52.63000000000018,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
183,DOWN,78.60999999999896,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
184,UP,47.5599999999976,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
185,DOWN,47.26999999999926,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
186,DOWN,62.65000000000187,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
187,DOWN,63.270000000001936,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
188,DOWN,161.7000000000024,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
189,UP,43.97999999999902,DOUBLE_WAVE,DOUBLE_WAVE_UP
190,UP,40.919999999999845,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
191,UP,52.09000000000019,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
192,DOWN,46.769999999998205,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
193,DOWN,73.5600000000014,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
194,UP,43.3400000000006,DOUBLE_WAVE,DOUBLE_WAVE_UP
195,DOWN,40.559999999998375,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
196,UP,54.35999999999774,DOUBLE_WAVE,DOUBLE_WAVE_UP
197,UP,49.9000000000005,SINGLE_WAVE_FORT,DOUBLE_WAVE_UP
198,UP,42.04999999999792,DOUBLE_WAVE,DOUBLE_WAVE_UP
199,DOWN,48.03000000000112,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
200,UP,61.189999999999856,DOUBLE_WAVE,DOUBLE_WAVE_UP
201,UP,41.359999999999175,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
202,DOWN,49.52999999999985,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
203,DOWN,52.34000000000183,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
204,DOWN,116.94999999999789,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
205,UP,42.62999999999906,DOUBLE_WAVE,DOUBLE_WAVE_UP
206,DOWN,69.9099999999997,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
207,DOWN,42.6200000000021,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
208,DOWN,81.62000000000225,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
209,UP,95.90999999999906,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
210,DOWN,76.88999999999835,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
211,DOWN,45.53000000000029,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
212,DOWN,95.70999999999997,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
213,DOWN,42.67999999999938,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
214,DOWN,50.45000000000188,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
215,UP,46.22999999999821,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
216,UP,56.979999999999805,DOUBLE_WAVE,DOUBLE_WAVE_UP
217,DOWN,68.0499999999995,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
218,UP,61.70000000000009,DOUBLE_WAVE,DOUBLE_WAVE_UP
219,UP,90.63999999999962,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
220,DOWN,47.800000000002285,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
221,UP,42.08999999999907,DOUBLE_WAVE,DOUBLE_WAVE_UP
222,DOWN,77.56000000000097,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
