event_key,country,empirical_score,avg_movement_pips,sample_size,min_impact,max_impact,median_impact,std_impact
cftc mxn speculative net positions,MX,6.139583333333217,6.139583333333217,48,0.10000000000065512,46.10000000000003,4.20000000000087,7.377633416373446
cftc nzd speculative net positions,NZ,6.139583333333217,6.139583333333217,48,0.10000000000065512,46.10000000000003,4.20000000000087,7.377633416373446
claimant count change,UK,7.316216216216136,7.316216216216136,37,0.2999999999997449,25.200000000000777,5.60000000000116,5.912447406246478
cnb interest rate decision,CZ,10.950000000000033,10.950000000000033,24,0.10000000000065512,27.69999999999939,9.250000000000647,7.492941122594273
composite nz pci,NZ,4.765517241379137,4.765517241379137,29,0.09999999999843467,25.499999999998302,2.4999999999986144,5.4152578734449515
consumer price index cpi,HK,2.733333333332736,2.733333333332736,3,1.7000000000000348,3.2999999999994145,3.1999999999987594,0.7318166133362404
consumer spending_mom,FR,10.423076923076714,10.423076923076714,13,0.8999999999992347,25.000000000001688,6.500000000000394,7.887590433094002
copper production_yoy,CL,5.561111111111152,5.561111111111152,18,0.5999999999994898,14.499999999999513,4.049999999999887,4.076918619754358
corporate sector wages_yoy,PL,9.083783783783522,9.083783783783522,37,0.10000000000065512,31.599999999998296,6.699999999999484,8.113769194883544
cpif_mom,SE,6.5238095238094385,6.5238095238094385,42,0.10000000000065512,19.499999999998963,4.950000000000232,5.149794703434825
cpif_yoy,SE,6.630952380952258,6.630952380952258,42,0.10000000000065512,19.499999999998963,4.999999999999449,5.067425762147143
credit card spending_yoy,NZ,6.54090909090955,6.54090909090955,22,0.10000000000065512,20.699999999997942,4.749999999998922,6.233389497544309
currency reserves,DK,8.26153846153844,8.26153846153844,13,0.10000000000065512,22.400000000000198,7.299999999998974,6.181801885875842
currency swaps,TH,11.922448979591772,11.922448979591772,49,0.09999999999843467,74.19999999999982,9.900000000000464,11.563688157262481
davivienda manufacturing pmi,CO,10.302777777777981,10.302777777777981,36,0.10000000000065512,84.10000000000028,5.049999999999777,15.219623409545903
deposit growth_yoy,IN,10.604761904761833,10.604761904761833,84,0.10000000000065512,56.89999999999973,7.499999999998064,10.9679175516367
deposit interest rate,HU,8.23611111111116,8.23611111111116,36,0.700000000000145,39.9000000000016,5.949999999999012,7.946353208924837
dilf manufacturing pmi,DK,10.545454545454596,10.545454545454596,11,0.9000000000014552,39.59999999999964,2.6999999999999247,12.979869983685452
dnb manufacturing pmi,NO,10.432432432432332,10.432432432432332,37,0.10000000000065512,44.6000000000013,8.300000000001084,9.810723698519165
ecb economic projections,EU,18.650000000001164,18.650000000001164,2,16.00000000000046,21.300000000001873,18.650000000001164,2.6500000000007073
economic activity_yoy,AM,8.767391304347726,8.767391304347726,92,0.7999999999985796,173.69999999999885,5.349999999999522,18.38569924351436
economic confidence index,TR,9.39999999999976,9.39999999999976,19,0.3999999999981796,26.599999999998847,7.800000000000029,6.977784296193849
economic tendency indicator,SE,10.177777777777594,10.177777777777594,18,3.1000000000003247,29.799999999999827,7.250000000000867,7.006390381133456
employed persons,SE,6.0736842105263715,6.0736842105263715,38,0.09999999999843467,21.599999999999397,4.849999999999577,5.09228953834953
employment growth_yoy,PL,8.856756756756507,8.856756756756507,37,0.10000000000065512,31.599999999998296,6.699999999999484,7.934684058170891
export orders_yoy,TW,8.996969696969694,8.996969696969694,33,0.10000000000065512,30.200000000000227,6.699999999999484,7.659554732231609
external debt,CZ,11.854166666666332,11.854166666666332,24,0.10000000000065512,45.29999999999923,8.500000000000174,11.898178402829041
fao food price index,WL,8.258333333333404,8.258333333333404,12,1.500000000000945,22.599999999999287,6.5499999999985015,6.532286268136538
fdi,CN,8.242499999999875,8.242499999999875,40,0.10000000000065512,38.899999999999494,5.999999999999339,7.936620423706863
fed cook testimony,US,37.39999999999854,37.39999999999854,1,37.39999999999854,37.39999999999854,37.39999999999854,0.0
fed jefferson testimony,US,37.39999999999854,37.39999999999854,1,37.39999999999854,37.39999999999854,37.39999999999854,0.0
federal tax revenues,BR,8.792682926829194,8.792682926829194,41,0.7999999999985796,30.200000000000227,7.699999999999374,6.678739118766314
food inflation_yoy,NZ,9.868518518518531,9.868518518518531,54,0.20000000000131024,154.1999999999999,4.150000000000542,21.488625967086794
foreign direct investment,BR,8.596470588235368,8.596470588235368,85,0.09999999999843467,39.59999999999964,5.299999999999194,7.914817779609795
full year gdp growth,AR,8.751851851852113,8.751851851852113,27,0.10000000000065512,36.49999999999931,5.199999999998539,9.37851644156575
gdp growth rate yoy adv,HK,10.534782608695377,10.534782608695377,46,0.1999999999990898,47.10000000000214,8.249999999999647,10.303338787506476
gdp mainland_mom,NO,6.369444444444291,6.369444444444291,36,0.10000000000065512,20.200000000001328,5.049999999999777,5.272139532193092
global dairy trade price index,NZ,7.813157894736942,7.813157894736942,76,0.09999999999843467,30.799999999999716,4.6000000000001595,7.832310644229086
global supply chain pressure index,WL,8.891666666666259,8.891666666666259,12,1.40000000000029,23.999999999999577,7.899999999999574,6.536112291637023
globaldairytrade price index,NZ,11.062500000000307,11.062500000000307,24,0.2999999999997449,37.69999999999829,7.600000000000939,10.121051184700564
gnp_qoq,IE,10.493749999999636,10.493749999999636,16,0.5999999999994898,52.70000000000108,8.099999999998664,12.174895725939846
gnp_yoy,IE,10.493749999999636,10.493749999999636,16,0.5999999999994898,52.70000000000108,8.099999999998664,12.174895725939846
gold production_yoy,ZA,7.177777777777617,7.177777777777617,36,0.10000000000065512,37.8999999999996,3.950000000000342,8.040353471745998
government budget,IT,18.900000000000215,18.900000000000215,3,8.699999999999264,36.49999999999931,11.500000000002064,12.497466409902984
government budget value,IN,9.783783783783907,9.783783783783907,37,0.2999999999997449,29.799999999999827,9.00000000000123,7.775273125071797
gross debt to gdp,BR,9.92272727272733,9.92272727272733,44,0.40000000000040004,22.100000000000453,9.749999999999481,6.056021182424971
gross fixed investment_mom,MX,16.761111111110914,16.761111111110914,36,0.2999999999997449,72.7000000000011,6.200000000000649,21.71864633823742
gross fixed investment_yoy,MX,17.335135135134887,17.335135135134887,37,0.2999999999997449,72.7000000000011,7.399999999999629,21.274476729566754
gross wage_yoy,HU,10.116216216216387,10.116216216216387,37,0.1999999999990898,39.20000000000145,7.800000000000029,8.254155825139645
harmonised inflation rate_mom,ES,8.754666666666733,8.754666666666733,75,0.10000000000065512,38.49999999999909,6.999999999999229,6.858071513835952
harmonised inflation rate_yoy,SI,7.789230769230625,7.789230769230625,65,0.10000000000065512,21.299999999999653,6.500000000000394,5.239704133659083
hesse cpi_mom,DE,13.419444444444586,13.419444444444586,36,0.1999999999990898,37.10000000000102,13.150000000000661,10.112528517868084
