cluster_id,date,time,timestamp,num_events,score_mean,score_min,score_max,max_surprise,avg_surprise,num_surprises,completeness_pct,cluster_type,dominant_family,is_testable
2024-08-16_16:00,2024-08-16,16:00,2024-08-16 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,5.71847507331377,1.8621915128740674,5,100.0,CPI,Consumer,True
2024-08-29_14:30,2024-08-29,14:30,2024-08-29 14:30:00+02:00,26,29.26011525633,23.19257246854641,33.282053649144096,213.33333333333334,30.866383325078292,23,88.46153846153845,Retail Sales,GDP/Growth,True
2024-09-06_14:30,2024-09-06,14:30,2024-09-06 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,200.0,27.131920910134763,11,91.66666666666666,NFP,Employment,True
2024-09-11_14:30,2024-09-11,14:30,2024-09-11 14:30:00+02:00,9,44.82035621858594,42.012728389432944,46.131002713643156,49.999999999999986,11.55039853037798,9,100.0,CPI,Inflation,True
2024-09-17_14:30,2024-09-17,14:30,2024-09-17 14:30:00+02:00,7,26.63493530445499,21.671326457943184,28.542650278268667,150.00000000000003,67.31601731601732,7,100.0,Retail Sales,Consumer,True
2024-09-27_14:30,2024-09-27,14:30,2024-09-27 14:30:00+02:00,11,25.905505056923495,23.851317490042995,30.886023743354997,50.0,23.197366014267427,11,100.0,Retail Sales,Inflation,True
2024-10-04_14:30,2024-10-04,14:30,2024-10-04 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,500.0,62.821726510152935,12,100.0,NFP,Employment,True
2024-10-10_14:30,2024-10-10,14:30,2024-10-10 14:30:00+02:00,13,39.173301418689654,25.339023793709526,46.131002713643156,100.0,14.189889700955174,13,100.0,CPI,Inflation,True
2024-10-11_16:00,2024-10-11,16:00,2024-10-11 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,11.538461538461531,4.547243946926674,5,100.0,CPI,Consumer,True
2024-10-17_14:30,2024-10-17,14:30,2024-10-17 14:30:00+02:00,12,26.864341942147323,26.035577298163243,28.542650278268667,500.0,165.55476428574806,7,58.333333333333336,Retail Sales,Employment,True
2024-10-25_16:00,2024-10-25,16:00,2024-10-25 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,6.896551724137923,2.845065446484031,5,100.0,CPI,Consumer,True
2024-10-29_13:30,2024-10-29,13:30,2024-10-29 13:30:00+01:00,5,26.744438822855198,23.851317490042995,30.886023743354997,150.00000000000003,89.19112036073534,5,100.0,Retail Sales,Consumer,True
2024-11-01_13:30,2024-11-01,13:30,2024-11-01 13:30:00+01:00,9,61.19869827689279,59.90047788837122,61.492477137506555,131.11111111111111,56.26305056070924,9,100.0,NFP,Employment,True
2024-11-08_16:00,2024-11-08,16:00,2024-11-08 16:00:00+01:00,5,24.01327815351321,23.7495601289988,24.07920765964181,5.795148247978433,3.3448711021340927,5,100.0,CPI,Consumer,True
2024-11-15_14:30,2024-11-15,14:30,2024-11-15 14:30:00+01:00,6,29.14904112451787,27.12952123180804,35.00725344868514,500.0,196.92251461988306,6,100.0,Retail Sales,Consumer,True
2024-11-27_14:30,2024-11-27,14:30,2024-11-27 14:30:00+01:00,22,29.395847205563292,22.480415688550092,39.92706987049297,300.00000000000006,35.68014770602266,21,95.45454545454545,Retail Sales,Other,True
2024-12-06_14:30,2024-12-06,14:30,2024-12-06 14:30:00+01:00,8,61.29347723136464,59.90047788837122,61.492477137506555,33.33333333333335,10.35994816586922,8,100.0,NFP,Employment,True
2024-12-06_16:00,2024-12-06,16:00,2024-12-06 16:00:00+01:00,6,25.023637772315265,23.7495601289988,30.075435866325535,21.216848673946973,7.462565758172033,6,100.0,CPI,Inflation,True
2024-12-17_14:30,2024-12-17,14:30,2024-12-17 14:30:00+01:00,7,26.63493530445499,21.671326457943184,28.542650278268667,50.0,40.0,7,100.0,Retail Sales,Consumer,True
2024-12-27_14:30,2024-12-27,14:30,2024-12-27 14:30:00+01:00,6,26.895082361610992,23.851317490042995,30.886023743354997,200.0,102.89262925479093,4,66.66666666666666,Retail Sales,Consumer,True
2025-01-10_14:30,2025-01-10,14:30,2025-01-10 14:30:00+01:00,10,61.212723814909204,59.90047788837122,61.492477137506555,360.0,68.92343207629833,10,100.0,NFP,Employment,True
2025-01-10_16:00,2025-01-10,16:00,2025-01-10 16:00:00+01:00,6,25.023637772315265,23.7495601289988,30.075435866325535,17.857142857142858,6.1764152084273976,6,100.0,CPI,Inflation,True
2025-01-15_14:30,2025-01-15,14:30,2025-01-15 14:30:00+01:00,12,43.53475388353433,35.00725344868514,46.131002713643156,500.0,53.95735235149224,10,83.33333333333334,CPI,Inflation,True
2025-01-16_14:30,2025-01-16,14:30,2025-01-16 14:30:00+01:00,23,26.872914595120154,21.671326457943184,28.822567457072772,500.0,38.359415505628334,18,78.26086956521739,Retail Sales,Consumer,True
2025-01-24_16:00,2025-01-24,16:00,2025-01-24 16:00:00+01:00,8,23.687120848199033,19.677570075850348,30.075435866325535,500.0,64.5514057136682,8,100.0,CPI,Consumer,True
2025-01-29_14:30,2025-01-29,14:30,2025-01-29 14:30:00+01:00,6,26.895082361610992,23.851317490042995,30.886023743354997,349.99999999999994,138.50866719177017,6,100.0,Retail Sales,Consumer,True
2025-02-07_14:30,2025-02-07,14:30,2025-02-07 14:30:00+01:00,8,61.29347723136464,59.90047788837122,61.492477137506555,250.0,40.779475037151904,8,100.0,NFP,Employment,True
2025-02-07_16:00,2025-02-07,16:00,2025-02-07 16:00:00+01:00,7,25.861121482463798,23.7495601289988,30.886023743354997,26.47058823529412,6.283498894615933,7,100.0,CPI,Inflation,True
2025-02-12_14:30,2025-02-12,14:30,2025-02-12 14:30:00+01:00,8,43.79989832281228,40.7828449344552,45.70384828422969,66.66666666666667,27.881616532779333,6,75.0,CPI,Inflation,True
2025-02-14_14:30,2025-02-14,14:30,2025-02-14 14:30:00+01:00,5,27.977398659684418,27.12952123180804,28.542650278268667,349.99999999999994,129.276201667506,5,100.0,Retail Sales,Consumer,True
2025-02-21_16:00,2025-02-21,16:00,2025-02-21 16:00:00+01:00,8,23.687120848199033,19.677570075850348,30.075435866325535,188.23529411764707,26.138659388949776,8,100.0,CPI,Consumer,True
2025-02-28_14:30,2025-02-28,14:30,2025-02-28 14:30:00+01:00,12,26.050737973462372,23.851317490042995,30.886023743354997,500.0,180.478235326539,12,100.0,Retail Sales,Inflation,True
2025-03-07_14:30,2025-03-07,14:30,2025-03-07 14:30:00+01:00,8,61.29347723136464,59.90047788837122,61.492477137506555,155.0,37.877905311847925,7,87.5,NFP,Employment,True
2025-03-14_15:00,2025-03-14,15:00,2025-03-14 15:00:00+01:00,6,25.023637772315265,23.7495601289988,30.075435866325535,15.707620528771377,9.19063400272471,5,83.33333333333334,CPI,Inflation,True
2025-03-17_13:30,2025-03-17,13:30,2025-03-17 13:30:00+01:00,8,27.68147507248376,21.671326457943184,35.00725344868514,500.0,127.85714285714286,8,100.0,Retail Sales,Consumer,True
2025-03-27_13:30,2025-03-27,13:30,2025-03-27 13:30:00+01:00,25,30.24626116903882,23.851317490042995,39.92706987049297,500.0,30.93542503799248,25,100.0,Retail Sales,GDP/Growth,True
2025-03-28_15:00,2025-03-28,15:00,2025-03-28 15:00:00+01:00,6,25.023637772315265,23.7495601289988,30.075435866325535,5.1282051282051215,2.879350198865943,6,100.0,CPI,Inflation,True
2025-04-04_14:30,2025-04-04,14:30,2025-04-04 14:30:00+02:00,10,61.212723814909204,59.90047788837122,61.492477137506555,480.0,69.61833039514525,10,100.0,NFP,Employment,True
2025-04-10_14:30,2025-04-10,14:30,2025-04-10 14:30:00+02:00,15,39.55196704196125,25.339023793709526,46.131002713643156,200.0,27.696471812772334,13,86.66666666666667,CPI,Inflation,True
2025-04-11_16:00,2025-04-11,16:00,2025-04-11 16:00:00+02:00,6,25.023637772315265,23.7495601289988,30.075435866325535,34.0,10.941390144301666,6,100.0,CPI,Inflation,True
2025-04-16_14:30,2025-04-16,14:30,2025-04-16 14:30:00+02:00,3,28.542650278268667,28.542650278268667,28.542650278268667,166.66666666666669,88.8888888888889,3,100.0,Retail Sales,Consumer,True
2025-04-25_16:00,2025-04-25,16:00,2025-04-25 16:00:00+02:00,6,25.023637772315265,23.7495601289988,30.075435866325535,5.840707964601765,2.0010527588974374,6,100.0,CPI,Inflation,True
2025-04-29_14:30,2025-04-29,14:30,2025-04-29 14:30:00+02:00,6,26.895082361610992,23.851317490042995,30.886023743354997,300.00000000000006,113.96700913242012,6,100.0,Retail Sales,Consumer,True
2025-05-02_14:30,2025-05-02,14:30,2025-05-02 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,433.3333333333333,52.33987791369794,12,100.0,NFP,Employment,True
2025-05-13_14:30,2025-05-13,14:30,2025-05-13 14:30:00+02:00,11,44.30998119579334,40.7828449344552,46.131002713643156,33.33333333333333,12.059319071727906,9,81.81818181818183,CPI,Inflation,True
2025-05-15_14:30,2025-05-15,14:30,2025-05-15 14:30:00+02:00,16,27.33022687949597,26.035577298163243,35.00725344868514,372.72727272727263,63.57486245186779,11,68.75,Retail Sales,Other,True
2025-05-16_16:00,2025-05-16,16:00,2025-05-16 16:00:00+02:00,6,25.023637772315265,23.7495601289988,30.075435866325535,10.606060606060609,4.835580276789462,5,83.33333333333334,CPI,Inflation,True
